AABEGS;DDL,DIR,EKR,ELZ,GHL,HIL,HNR,NOR
AABEGT;CPR,IRR
AABEIK;JLR
AABEIL;ALV,BCD,CDL,CGR,DOV,GIL,HRR,ILZ,JKR,LPP
AABEKT;BER,CCR,CRW
AABELM;ALR,CGR,CMR,COR,CRY,ELL,EPR,FLM,LLY
AABELR;ABD,CCU,CIM,CMM,CMY,ERV,FOV,HIR,IJK
AABELT;ALP,FLO
AABELZ;COR,EGS,FNU,IIL,ORR
AABEMN;RTT
AABEMO;CLR,DDG,DRT,MXY
AABEMS;EIS,EKT,EST,IIS,ISS,IST,MXY
AABEMT;CHS,CIN,CIT,COS,DOR,DRU,ESS,HNS,INO,ISS,NRT,OST
AABERS;ACN,CMV,ENO,GNO
AABERT;GIR,IIV
AABERU;AGY,CCL,DDN,GIR
AABERZ;CLO,LOR
AABESS;ACT,ADT,AKT,BDN,CIS,CKT,DEM,DTU,EIM,EMT,IIM,IMS,INO,ISS,QUU
AABEST;ACS,CDI,CHM,CMO,COU,DDE,DMN,DNW,DSU,EFN,EMN,EMS,IOU,MOT,OTU
AABETU;COS,DSS,INS
AABETZ;CHI
AABGGR;DNO,INR
AABGGS;EHL,GNN,NOT
AABGIM;GNO
AABGIN;BBK,BCG,CLL,CLN,DLL,EGO,GMO,JNX,LVY
AABGIR;BCE,CEL,DIL,EGR,ERT,ERU
AABGKT;CES
AABGMN;GIO
AABGMS;ORR
AABGOZ;
AABGRT;CEP,EIR,INR,INT,OOR
AABGSS;CRR,HKR,IMU
AABHIJ;
AABHIS;ACR,ADY,AGL,CLR,COR,EGL,IRW,JMY,LLR,LTU
AABHJN;
AABHKS;ABL,CDN,DER,LLW
AABHKT;
AABHLR;ATZ,CCO,CET,DEN,DMO,EIR,IIZ
AABHMR;DLO,RTU
AABHMS;ACU,ENT,IJY
AABHNV;
AABHNW;CCO,CDT
AABHSS;DRU,RRU
AABHSW;DOR,IIR
AABILL;AAK,AEV,ATV,AVY,BOO,CIT,CKM,CKT,DET,DTY,EGH,EGI,EIZ,EPP,ITY,IXY
AABILM;IIR,OPR
AABILU;CRV,DEN,DET,DNQ
AABILX;
AABIMR;CEL,CNO,COP,FOT,IIL,LOP
AABINN;ADT,GJX,GNR,GTU,IRT,RTU
AABINQ;DLU
AABINR;ABR,AEO,EHR,EKR,ERV,EVW,ILR
AABINS;CEM,EIM,EOS,IOS
AABINW;ERV,JOT
AABINZ;
