AACHN;
AACHP;ALRR,ANTY,CCIO,DILO,LLTY,LMTY,NRTY
AACHR;AACR,ALPR,GHIY,IIRV,LLMY
AACHY;ANPT,BELN,BELT,CDOR,CEMP,CLOR,CNNW,DILM,EMTT,ENPT,ERRT,GHIR,LLMR,LLPT,LMPT,NNOT,NOTT,OPPR
AACIR;AARU,EFFT,EFOT,EORT,IRTU,MRSU,MTTU
AACIS;AAHL,BEIR,CEHX,CERR,DOUU,EILR,ELRZ,ELUZ,LQRU,LRUU
AACJL;ORTU
AACKL;AAHK,BBLL,BCEF,BDEL,BLRT,BLST,CEFH,EEMR,EHNO,FHRT,HKMR
AACKY;BCRR,CMMO,EGRW,IMNN,IORT
AACLL;BBKL,BEEV,BKMP,BKRT,EEGR,EERV,ERWY
AACLN;
AACLO;BEHP,BMRY,DDEP,DDIL,EJKP,GORY
AACLP;
AACLR;AHRT,BKLT,ELLU,ERTU,GOOY,HKKM
AACLS;IITV
AACMN;AKTT,DETU,EENU,EKTT,OTTU
AACMS;ADEL,BLRY,DMOT,DMRU,DOUV,EFLP,LLRY,OOTT
AACMW;EERR,HNOR
AACNN;AILL,BDUY,DGIV,DHLR,DIOR,FIIL,GIRY,HOTY,IIOP,NOTV
AACNT;ABKN,DJUY,IMMU
AACPR;AHKR,BDKO,BEKP,BKMR,CFMT,EHNO,ENPY,ENRY
AACPS;AEQU,BCEK,BKMT,EEMT,EKWX,FFKT,OOTT
AACPT;BKMS,CFMR,EEMS,FFKS,OOST
AACRS;AAJR,JKOO,KOWY
AACRT;AILU,BDFK,BKLL,DIQU
AACSS;AANR,AGLW,BBKT,BCKT,BDNT,BEKT,BFKT,BKTY,CKLO,CNTU,DKNT,EUWY,HKTY,HQTU,NRTT,ORTT
AACSU;AAHY,AHOY,CCHH,CHHM,CIOP,DIOT,DIOU,DMOV,HOTT,HQST
AACSV;BEMR,DMOU,EEPR,EHKR,EILL,IILT,IITT
AACSW;CJKR,DEPR,DORT,EENR,EERR,EKPX,FRRT,GLLY,IOTT,JKRT,KLOY,KORY,LRWY
AACUV;CILL,DJNY,DMOS,ELLL,GINT,LNRU
AADDH;AMRY,BEER,BEOR,BORR,CENO,EEFT,EEIR,EGRU
AADDR;BBNO,BCOR,BHOR,BLNO,BORT,CMOU,INPT,NPTY
AADDS;BEGL,BMOR,CEEL,EFLL,KMMO
AADDU;BENR,EGHR,EGMN,EGRT,ELPP,ENPT,ENRW,EQRT
AADDX;
AADEG;CCOR,IQRU,RRRU
AADEH;BDOR,BJLL,CDLS,CDNO,CEEP,CEPP,DNST,EELS,EFMR,EHRX,ELSW,FNOR,GNST,GNUY,HLNT,INNO,LLST,LNNP,LNTW,LOPX,NNOS,NORT,NRSY,PRTT
AADEL;ABBR,BEKN,HNNP,HOPX,IKLZ,INNN,INNZ,IPPZ
AADEM;ACRS,BCRV,COPR,EFHR,EILV,ERSU,LLPY,OQRU
AADER;AGKN,EHHX,GIQU,GRRU,MMNO,MNOO,MOQU
AADFL;AILT,BLOR,CHRS,CIIT,CIOT,INRY
AADFR;BLLO
AADGG;BINN,BNOR,CEGM,ELNU,GINR,INRT
AADGR;ALVX,CCEO
AADHL;AMRS,BCEK,BEJL,BESY,BMOR,CCOO,CCRU,CDES,CERT,CFRS,CKLN,CMNR,CNNR,EEES,EEMT,EESW,EHNT,ELST,EMNN,EMSY,ENNP,ENTW,EOPX,GNSS,KNRS,LNST,MNRS
AADHN;ACCM,BCIL,CDEO,EEGP,EHLT,EINO,ELNP,ELTW,FIIT
AADHW;BCNT,ELNT
AADIK;ACHT,CHLN,EEWW,ELLZ
AADIN;CHKL,EHNO,LLOY
AADIP;AHOR,BCOR,CEIR,CEMR,CERT,CETT,CFOR,CHLO,CLOR,CRTY,EGNZ,EHRT,EIRT,EJNZ,EOTU,ERTT,ERTY,GHSY,HSSY,IMRY,LLMU,LMOT,NSSS,RSXY
AADIS;ABHH,ABHY,AEGS,COUU,DHHS,EEGS,EHWY,GHPY,HPSY,PRXY
AADIZ;AHMR,BHOR,CEHR,CEMR,EHRZ,EILR,EKLL,ELPP,ELTY,EMMU,EMRT,GHNR,MNUV
AADLN;BEEK,CHIK,CHMR,CHNR,CIIT,CITY,EFGN,EHNP,EINN,EINZ,GIMY
AADLS;AHHV,AHMR,CDGH,CFHR,HMOY,KORV,PQUY
AADLT;AFIL,AMNY,BILY,CFII,CFIO,CIIN,CINY,GINU,ILNO,INNO,INOP
AADLW;EGRV,EJKY,EPRT,KRWY,RWYY
AADMM;IIOT
AADMN;ACCH,QRUU
AADMP;EFRT,ENOT,ENRZ,ERRT,ETTU,IIRY
AADMR;BCEV,CEET,CEOP,EENT,EFPT,EPRT
AADNP;CEPT,EIJZ,EMOT
AADNS;CEOS,COTT,FGNO,GNQU,JTTU
AADNV;CJUY
AADNY;ALMT,BCNU,CCDI,CCEJ,CELL,CILT,CIOT,CJTU,CJUV,EELT,ELLU
AADPT;AEOZ,CEIT,CENP,CIRY,DNRY,EGNO,EIOU,EMNO,ENNP,ILMO
