AAABC;BIJOT
AACSW;GKRRS,NORRT
AACUV;BEHLO,DEINS,DEORS,EENOS,ELNRR,IIORS,IOSSX
AADDH;CKPWY,EEGRY,EENRV,EEORR,EGNOR
AADDR;BINOR,IINRT,INORT
AADDS;AELPY,BCEKL,BCORR,CEEMN,CEGNO,CEKLP,CKPWY
AADDU;BEGNN,EHNRZ
AADDX;
AADEG;CGIOP,EGOPU
AADEH;ABLRZ,BITTU,DEORR,EENNR,EHMMR,EHPRT,ENPRT,ENSTU,ENTUZ,EQRSU,ERRTT,GHINS,LNSSW,NOPTY,NSSTV
AADEL;ABHRZ,ANPQU,EHHRX
AADEM;AFQRU
AADER;EHHMM,GKNOO,MNQUU
AADFL;BFORY,BHORS,CIILS,IIMPT,IINTU
AADFR;BFLOY
AADGG;BDEHN,BEGNN,DINNR,EEOPU,EILNT,IINNT,IINTV,LNOOW
AADGR;CEEKP
AADHL;ABERZ,BCETY,BCKOR,BFORS,CCEOR,CDEER,CEMTY,EEHRX,EKLMR,LLLNO
AADHN;CETTU,EETUZ,LLLLO
AADHW;BNORR,CDKPY,CEHTT,CGRTU,EKMOT,ILRTW
AADIK;BCGNT,BELNZ,CHRTU,EFILL,EGMNR,GMNOR,ILNOP
AADIN;
AADIP;BLOOR,CEGGO,CILRR,CILRT,EEMRT,EERTU,EFFNR,EGORR,EOQRU,FILMT,HIIOR,ITTVY,LRRTU
AADIS;AACMM,AGHRW,GHJRR
AADIZ;BEILL,BELLY,CELTU,EGGRR,ELMMR,EMMRR,ERRTT,FGINR
AADLN;
AADLS;
AADLT;ANQRU,BNNUY,BORRY,CCDII,DIINO,FIINU,GIINP,GINOO
AADLW;CEEKK,HIRTW
AADMM;
AADMN;JNPRU,OOOTT
AADMP;EEIRT,INORY,INRTY,JNNRU,OORRT
AADMR;
AADNP;BEELX,EHOTY,ELLPU
AADNS;CCEEJ,CCEEN,CEEEF,CENNO
AADNV;
AADNY;BELTU,BLNTU,CEGIN,CEIQU,CEJLT,CENTT,EEMNO
AADPT;CEOOP,CIILR,EHNOY,EIPTT,FIILM,IITVY,ILRRU
AADPY;EHNOT,IITTV,IMNOR,IMNRT
AADRR;AGMNO,AQTUU,CEELN,CEFTT,CFIMO,CHMNO,DEEHO,EEFIL,EFGTU,EIMMZ,EIMTZ,EITTZ,EQTUU,FGIII,IQTUX,JOTUY
AADRW;CGHTU,HILTW
AADSW;CEEUY,EEIKW
AADSY;BEHHI,BJLTU,CEEUW,CLOTU,DIIMR
AADSZ;AEOPT
AADTY;BJLSU,BLNNU,CENNT,CHLLO,CLOSU,EHNOP,IIPTV,IMNOS
